Date,Time,Bucket_ID,Cuke_ID,Activity_score,Droop_score,Squeeze_score,Number_lesions,Bodywall lesions,
14-11-2021,10:30,5,A,NA,2,2,0,0,
14-11-2021,10:30,5,B,NA,2,2,0,0,
14-11-2021,10:30,6,A,NA,2,1,5,1,
14-11-2021,10:30,6,B,NA,2,2,0,0,
14-11-2021,10:30,7,A,NA,NA,NA,NA,NA,
14-11-2021,10:30,7,B,NA,2,2,9,1,
14-11-2021,10:30,8,A,NA,1,1,8,0,
14-11-2021,10:30,8,B,NA,2,1,8,4,
14-11-2021,10:30,30,A,NA,2,2,1,0,
14-11-2021,10:30,10,A,NA,NA,NA,NA,NA,
14-11-2021,10:30,10,B,NA,2,1,2,0,
14-11-2021,10:30,11,A,NA,2,2,1,0,
14-11-2021,10:30,11,B,NA,1,1,0,0,
14-11-2021,10:30,12,A,NA,0,0,0,0,
14-11-2021,10:30,12,B,NA,1,1,1,0,
14-11-2021,10:30,14,A,NA,1,1,6,0,
14-11-2021,10:30,14,B,NA,NA,NA,NA,NA,
14-11-2021,10:30,28,A,NA,0,0,0,0,
14-11-2021,10:30,15,A,NA,2,1,2,0,
14-11-2021,10:30,15,B,NA,1,2,0,0,
14-11-2021,10:30,16,A,NA,1,2,2,0,
14-11-2021,10:30,16,B,NA,2,2,0,0,
14-11-2021,10:30,17,A,NA,1,2,0,0,
14-11-2021,10:30,17,B,NA,1,2,0,0,
14-11-2021,10:30,18,A,NA,1,1,1,0,
14-11-2021,10:30,18,B,NA,2,2,1,0,
14-11-2021,10:30,19,A,NA,2,2,3,0,
14-11-2021,10:30,19,B,NA,1,2,4,0,
14-11-2021,10:30,20,A,NA,2,2,5,0,
14-11-2021,10:30,20,B,NA,2,2,1,1,
14-11-2021,10:30,21,A,NA,2,2,3,0,
14-11-2021,10:30,21,B,NA,2,1,3,0,
14-11-2021,10:30,22,A,NA,2,2,0,0,
14-11-2021,10:30,22,B,NA,2,2,2,0,
14-11-2021,10:30,24,A,NA,2,2,2,0,
14-11-2021,10:30,24,B,NA,2,2,3,0,
14-11-2021,10:30,29,A,NA,2,1,2,0,
14-11-2021,10:30,25,A,NA,2,2,4,0,
14-11-2021,10:30,25,B,NA,2,2,4,0,
14-11-2021,10:30,9,A,NA,2,2,1,0,
14-11-2021,10:30,9,B,NA,2,2,4,0,
14-11-2021,10:30,23,A,NA,1,1,0,0,
14-11-2021,10:30,23,B,NA,2,2,0,0,
14-11-2021,10:30,13,A,NA,2,2,6,0,
14-11-2021,10:30,13,B,NA,2,2,2,0,
14-11-2021,10:30,27,A,NA,2,2,0,0,
14-11-2021,10:30,26,A,NA,1,1,6,0,
14-11-2021,10:30,26,B,NA,1,1,2,0,
